Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:58.092996
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2500.0
Minimum Reflectance,350.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Sulfate_Jarosite_Natro9_McCollom_Ehlmann
Sample Name,Sulfate_Jarosite_Natro9_McCollom_Ehlmann
Sample Type,
Viewing Geometry,
Wavelength,Response
685.0,0.3377
686.0,0.339
687.0,0.3403
688.0,0.3417
689.0,0.3432
690.0,0.3445
691.0,0.3457
692.0,0.3469
693.0,0.3482
694.0,0.3493
695.0,0.3501
696.0,0.3512
697.0,0.3521
698.0,0.3528
699.0,0.3538
700.0,0.3546
701.0,0.3553
702.0,0.356
703.0,0.3565
704.0,0.357
705.0,0.3573
706.0,0.3576
707.0,0.3578
708.0,0.3578
709.0,0.3577
710.0,0.3577
711.0,0.3578
712.0,0.3577
713.0,0.3574
714.0,0.3571
715.0,0.3566
716.0,0.356
717.0,0.3555
718.0,0.3551
719.0,0.3545
720.0,0.3536
721.0,0.3528
722.0,0.3519
723.0,0.3509
724.0,0.3496
725.0,0.3485
726.0,0.3473
727.0,0.3461
728.0,0.3451
729.0,0.3438
730.0,0.3424
731.0,0.341
732.0,0.3395
733.0,0.3378
734.0,0.3362
735.0,0.3348
736.0,0.3333
737.0,0.3317
738.0,0.33
739.0,0.3284
740.0,0.3265
741.0,0.3247
742.0,0.3228
743.0,0.3208
744.0,0.3189
745.0,0.3172
746.0,0.3155
747.0,0.3135
748.0,0.3116
749.0,0.3098
750.0,0.3078
751.0,0.3058
752.0,0.304
753.0,0.3021
754.0,0.3
755.0,0.2981
756.0,0.2961
757.0,0.2941
758.0,0.292
759.0,0.29
760.0,0.288
761.0,0.286
762.0,0.284
763.0,0.2821
764.0,0.2803
765.0,0.2782
766.0,0.2762
767.0,0.2744
768.0,0.2726
769.0,0.2707
770.0,0.2687
771.0,0.2666
772.0,0.2647
773.0,0.2628
774.0,0.2609
775.0,0.2591
776.0,0.2574
777.0,0.2557
778.0,0.2538
779.0,0.2519
780.0,0.2501
781.0,0.2482
782.0,0.2464
783.0,0.2447
