Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:51.713785
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2500.0
Minimum Reflectance,365.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Amph_JSC1_Johnson
Sample Name,Amph_JSC1_Johnson
Sample Type,
Viewing Geometry,
Wavelength,Response
687.0,0.329872
688.0,0.330783
689.0,0.331705
690.0,0.332593
691.0,0.333465
692.0,0.334386
693.0,0.335282
694.0,0.336166
695.0,0.337037
696.0,0.337923
697.0,0.338777
698.0,0.339592
699.0,0.340448
700.0,0.341282
701.0,0.342104
702.0,0.342964
703.0,0.343811
704.0,0.34465
705.0,0.345471
706.0,0.346237
707.0,0.347007
708.0,0.347785
709.0,0.348586
710.0,0.349392
711.0,0.350191
712.0,0.350952
713.0,0.351705
714.0,0.35244
715.0,0.353147
716.0,0.353931
717.0,0.354692
718.0,0.355422
719.0,0.356187
720.0,0.35694
721.0,0.35768
722.0,0.358416
723.0,0.359102
724.0,0.359806
725.0,0.360565
726.0,0.361291
727.0,0.362008
728.0,0.362724
729.0,0.36341
730.0,0.364081
731.0,0.364762
732.0,0.365518
733.0,0.366175
734.0,0.366816
735.0,0.367485
736.0,0.368131
737.0,0.368826
738.0,0.369567
739.0,0.370163
740.0,0.37076
741.0,0.371382
742.0,0.372089
743.0,0.372744
744.0,0.373382
745.0,0.374006
746.0,0.374588
747.0,0.375209
748.0,0.375856
749.0,0.376445
750.0,0.377027
751.0,0.377607
752.0,0.378184
753.0,0.378738
754.0,0.379298
755.0,0.379875
756.0,0.380418
757.0,0.380976
758.0,0.381543
759.0,0.382057
760.0,0.382568
761.0,0.383081
762.0,0.383598
763.0,0.384073
764.0,0.384542
765.0,0.385009
766.0,0.385512
767.0,0.385976
768.0,0.386413
769.0,0.386887
770.0,0.387279
771.0,0.387644
772.0,0.388033
773.0,0.388451
774.0,0.388883
775.0,0.389318
776.0,0.389655
777.0,0.390024
778.0,0.39042
779.0,0.390815
780.0,0.391149
781.0,0.391467
782.0,0.391821
783.0,0.392071
784.0,0.392317
785.0,0.39258
786.0,0.392845
787.0,0.39311
788.0,0.393384
789.0,0.393683
790.0,0.393933
791.0,0.394184
792.0,0.394475
793.0,0.394681
794.0,0.394898
795.0,0.395146
796.0,0.395267
797.0,0.395471
798.0,0.395709
799.0,0.395819
800.0,0.396001
801.0,0.396186
802.0,0.396318
803.0,0.396483
804.0,0.396644
805.0,0.39679
806.0,0.396972
807.0,0.397156
808.0,0.397335
809.0,0.397503
810.0,0.397647
811.0,0.397749
812.0,0.397782
813.0,0.397931
814.0,0.398076
815.0,0.398197
816.0,0.398201
817.0,0.398233
818.0,0.398302
819.0,0.398475
820.0,0.398632
821.0,0.398751
822.0,0.398804
823.0,0.398901
824.0,0.398967
825.0,0.398999
826.0,0.399057
827.0,0.399168
828.0,0.399284
829.0,0.399312
830.0,0.399341
831.0,0.399362
832.0,0.399373
833.0,0.39943
834.0,0.399508
835.0,0.399598
836.0,0.399572
837.0,0.399636
838.0,0.399734
839.0,0.399779
840.0,0.399791
841.0,0.399821
842.0,0.399907
843.0,0.399865
844.0,0.399848
845.0,0.399865
846.0,0.399899
847.0,0.399969
848.0,0.400034
849.0,0.400019
850.0,0.400011
851.0,0.400033
852.0,0.400092
853.0,0.400104
854.0,0.400179
855.0,0.400305
856.0,0.4003
857.0,0.400316
858.0,0.400321
859.0,0.400256
860.0,0.400283
861.0,0.400328
862.0,0.40037
863.0,0.400345
864.0,0.400319
865.0,0.400307
866.0,0.400368
867.0,0.400367
868.0,0.400335
869.0,0.400298
870.0,0.400366
871.0,0.400405
872.0,0.400374
873.0,0.400423
874.0,0.400445
875.0,0.400445
876.0,0.400476
877.0,0.400479
878.0,0.400487
879.0,0.400541
880.0,0.400547
881.0,0.400527
882.0,0.400485
883.0,0.400531
884.0,0.400561
885.0,0.400572
886.0,0.400569
887.0,0.400583
888.0,0.400648
889.0,0.40082
890.0,0.400784
891.0,0.40074
892.0,0.400733
893.0,0.40076
894.0,0.400843
895.0,0.400948
896.0,0.400944
897.0,0.40088
898.0,0.400843
899.0,0.400922
900.0,0.400999
901.0,0.401004
902.0,0.400921
903.0,0.400941
904.0,0.400996
905.0,0.401064
906.0,0.401069
907.0,0.401182
908.0,0.401297
909.0,0.401344
910.0,0.401396
911.0,0.401433
912.0,0.401449
913.0,0.401534
914.0,0.401566
915.0,0.401568
916.0,0.401596
917.0,0.401668
918.0,0.401743
919.0,0.401788
920.0,0.401819
921.0,0.40182
922.0,0.4018
923.0,0.401977
924.0,0.402031
925.0,0.40204
926.0,0.402195
927.0,0.402258
928.0,0.402285
929.0,0.402295
930.0,0.40235
931.0,0.402385
932.0,0.402408
933.0,0.402563
934.0,0.402613
935.0,0.402603
936.0,0.402598
937.0,0.402641
938.0,0.402712
939.0,0.402817
940.0,0.402828
941.0,0.4029
942.0,0.403036
943.0,0.403107
944.0,0.403174
945.0,0.403216
946.0,0.403201
947.0,0.403266
948.0,0.40333
949.0,0.403362
950.0,0.403497
951.0,0.403592
952.0,0.403637
953.0,0.403645
954.0,0.403711
955.0,0.403833
956.0,0.404033
957.0,0.404038
958.0,0.404004
959.0,0.403985
960.0,0.404068
961.0,0.404139
962.0,0.404186
963.0,0.404164
964.0,0.404237
965.0,0.404393
966.0,0.404656
967.0,0.404655
968.0,0.404681
969.0,0.404832
970.0,0.404935
971.0,0.404965
972.0,0.404941
973.0,0.404944
974.0,0.405083
975.0,0.405254
976.0,0.405362
977.0,0.405409
978.0,0.405461
979.0,0.405536
980.0,0.405726
981.0,0.405725
982.0,0.405849
983.0,0.406026
984.0,0.406219
985.0,0.406283
986.0,0.406193
987.0,0.406172
988.0,0.406319
989.0,0.406444
990.0,0.406456
991.0,0.406469
992.0,0.406706
993.0,0.406955
994.0,0.407044
995.0,0.407103
996.0,0.40716
997.0,0.407216
998.0,0.407276
999.0,0.407317
1000.0,0.407378
1001.0,0.407483
1002.0,0.407593
1003.0,0.407758
1004.0,0.407913
1005.0,0.407962
1006.0,0.40801
1007.0,0.408049
1008.0,0.408092
1009.0,0.408181
1010.0,0.408278
1011.0,0.408368
1012.0,0.408453
1013.0,0.408577
1014.0,0.408733
1015.0,0.408903
1016.0,0.409091
1017.0,0.409221
1018.0,0.409219
1019.0,0.409243
1020.0,0.409403
1021.0,0.409548
1022.0,0.409601
1023.0,0.409653
1024.0,0.40983
1025.0,0.410002
1026.0,0.410037
1027.0,0.410028
1028.0,0.410154
1029.0,0.410391
1030.0,0.410581
1031.0,0.410706
1032.0,0.410795
1033.0,0.410841
1034.0,0.410913
1035.0,0.411021
1036.0,0.411107
1037.0,0.411156
1038.0,0.411209
1039.0,0.411245
1040.0,0.411275
1041.0,0.411368
1042.0,0.411466
1043.0,0.411536
1044.0,0.411613
1045.0,0.411704
1046.0,0.411768
1047.0,0.411801
1048.0,0.411842
1049.0,0.411938
1050.0,0.412077
1051.0,0.412201
1052.0,0.412354
1053.0,0.412507
1054.0,0.412635
1055.0,0.41275
1056.0,0.412807
1057.0,0.412865
1058.0,0.412967
1059.0,0.413078
1060.0,0.413165
1061.0,0.413276
1062.0,0.413417
1063.0,0.413491
1064.0,0.41356
1065.0,0.413655
1066.0,0.4138
1067.0,0.414006
1068.0,0.414158
1069.0,0.414248
1070.0,0.414337
1071.0,0.414479
1072.0,0.414634
1073.0,0.414755
1074.0,0.414853
1075.0,0.414949
1076.0,0.415046
1077.0,0.415159
1078.0,0.415274
1079.0,0.415374
1080.0,0.415527
1081.0,0.415714
1082.0,0.415796
1083.0,0.415835
1084.0,0.415903
1085.0,0.415968
1086.0,0.416091
1087.0,0.416218
1088.0,0.41633
1089.0,0.41645
1090.0,0.416584
1091.0,0.416706
1092.0,0.416812
1093.0,0.416924
1094.0,0.417073
1095.0,0.417257
1096.0,0.417439
1097.0,0.41755
1098.0,0.417647
1099.0,0.417778
1100.0,0.417911
1101.0,0.418013
1102.0,0.418111
1103.0,0.418243
1104.0,0.418389
1105.0,0.418511
1106.0,0.418617
1107.0,0.418757
1108.0,0.418914
1109.0,0.419042
1110.0,0.419149
1111.0,0.419259
1112.0,0.419362
1113.0,0.419453
1114.0,0.419538
1115.0,0.41961
1116.0,0.41968
1117.0,0.419747
1118.0,0.419844
1119.0,0.419938
1120.0,0.420028
1121.0,0.420125
1122.0,0.420221
1123.0,0.420298
1124.0,0.420366
1125.0,0.420481
1126.0,0.420622
1127.0,0.420728
1128.0,0.420807
1129.0,0.420912
1130.0,0.421036
1131.0,0.42115
1132.0,0.421244
1133.0,0.421327
1134.0,0.421387
1135.0,0.421456
1136.0,0.421569
1137.0,0.421689
1138.0,0.421829
1139.0,0.421945
1140.0,0.422014
1141.0,0.422088
1142.0,0.422202
1143.0,0.422315
1144.0,0.422375
1145.0,0.422419
1146.0,0.422508
1147.0,0.422633
1148.0,0.42274
1149.0,0.422808
1150.0,0.422886
1151.0,0.423008
1152.0,0.423124
1153.0,0.423243
1154.0,0.423355
1155.0,0.423429
1156.0,0.423519
1157.0,0.42367
1158.0,0.423794
1159.0,0.423832
1160.0,0.423916
1161.0,0.424048
1162.0,0.424141
1163.0,0.424223
1164.0,0.424313
1165.0,0.424387
1166.0,0.424465
1167.0,0.424567
1168.0,0.424668
1169.0,0.424769
1170.0,0.424862
1171.0,0.424941
1172.0,0.425027
1173.0,0.425102
