Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:52.948076
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2600.0
Minimum Reflectance,300.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Pyx_Hedenbergite_PYX010_En30.4_Fs18.7_Wo50.9_45-90microns_RELAB
Sample Name,Pyx_Hedenbergite_PYX010_En30.4_Fs18.7_Wo50.9_45-90microns_RELAB
Sample Type,
Viewing Geometry,
Wavelength,Response
1845.0,0.21018
1850.0,0.211616
1855.0,0.213968
1860.0,0.215427
1865.0,0.217245
1870.0,0.218999
1875.0,0.219828
1880.0,0.222101
1885.0,0.223727
1890.0,0.224966
1895.0,0.226892
1900.0,0.229044
1905.0,0.230037
1910.0,0.231432
1915.0,0.233079
1920.0,0.234655
1925.0,0.236647
1930.0,0.238351
1935.0,0.240262
1940.0,0.242459
1945.0,0.24421
1950.0,0.246054
1955.0,0.247498
1960.0,0.249366
1965.0,0.250932
1970.0,0.253345
1975.0,0.255009
1980.0,0.257262
1985.0,0.259345
1990.0,0.261081
1995.0,0.26309
2000.0,0.264917
2005.0,0.266959
2010.0,0.269204
2015.0,0.270828
2020.0,0.272919
2025.0,0.274682
2030.0,0.27641
2035.0,0.278629
2040.0,0.280489
2045.0,0.282204
2050.0,0.284083
2055.0,0.285758
2060.0,0.287745
2065.0,0.289861
2070.0,0.291638
2075.0,0.293337
2080.0,0.29541
2085.0,0.297302
2090.0,0.299506
2095.0,0.301081
2100.0,0.302546
2105.0,0.304785
2110.0,0.306742
2115.0,0.308737
2120.0,0.310797
2125.0,0.312411
2130.0,0.314535
2135.0,0.317169
2140.0,0.317857
2145.0,0.320032
2150.0,0.322095
2155.0,0.323697
2160.0,0.32583
2165.0,0.327364
2170.0,0.329417
2175.0,0.331736
2180.0,0.333514
2185.0,0.335121
2190.0,0.33727
2195.0,0.339426
2200.0,0.340533
2205.0,0.342883
2210.0,0.344837
2215.0,0.347154
2220.0,0.349286
2225.0,0.350454
2230.0,0.352435
2235.0,0.354664
2240.0,0.356339
2245.0,0.357567
2250.0,0.35984
2255.0,0.362325
2260.0,0.363963
2265.0,0.36612
2270.0,0.368545
2275.0,0.369902
2280.0,0.371792
2285.0,0.374067
2290.0,0.374666
2295.0,0.376178
2300.0,0.377995
2305.0,0.379335
2310.0,0.380813
2315.0,0.382416
2320.0,0.384626
2325.0,0.386943
2330.0,0.389315
2335.0,0.39182
2340.0,0.394228
2345.0,0.396934
2350.0,0.398683
2355.0,0.399965
2360.0,0.402216
2365.0,0.403437
2370.0,0.40541
2375.0,0.407113
2380.0,0.408688
2385.0,0.410874
2390.0,0.412388
2395.0,0.415068
2400.0,0.417369
2405.0,0.419355
2410.0,0.421125
2415.0,0.423287
2420.0,0.425758
2425.0,0.428162
2430.0,0.429748
2435.0,0.432216
2440.0,0.433654
2445.0,0.436097
2450.0,0.438207
2455.0,0.440213
2460.0,0.442275
2465.0,0.444254
2470.0,0.446511
2475.0,0.448519
2480.0,0.45017
2485.0,0.452174
2490.0,0.454538
2495.0,0.456321
2500.0,0.458707
2505.0,0.460106
2510.0,0.462675
2515.0,0.463918
2520.0,0.466105
2525.0,0.468233
2530.0,0.469975
2535.0,0.470592
2540.0,0.472905
2545.0,0.473905
2550.0,0.476758
2555.0,0.481206
2560.0,0.479071
2565.0,0.480533
2570.0,0.484413
2575.0,0.48574
2580.0,0.486795
2585.0,0.488506
2590.0,0.4909
2595.0,0.492311
2600.0,0.495121
